Id_Interview;Thème;Interview
22;Qualité logement;Importance de l’expérience vécue?: «?j’ai passé cinq ans dans 18m2 à Paris donc quand je suis rentré c’est ça que je voulais?: la famille et la qualité du logement?»? 
23;Qualité logement;Pareil pour une autre participante qui a aussi vécu à Paris et qui recherchait à retrouver cette centralité d’habiter en centre-ville car une forte proximité avec les services (notamment pouvoir emmener ses enfants à l’école à pied), commerces et la culture?(cinéma, musées).
24;Qualité logement;Un participant évoque le fait de faire le choix de rester en Corse, et en parle comme un acte relevant presque du militantisme.
25;Qualité logement;Grande importance de la vie en communauté, même en ville?: volonté de vouloir reproduire en quelque sorte la vie de village au sein d’un quartier, avait besoin de quelque chose à dimension humaine, connaître les gens et avoir ses habitudes.C’est quelque chose qu’il a eu du mal à retrouver dans d’autres grandes villes (notamment Paris) et à Ajaccio il a pu retrouver des «?mini-communautés?»  
26;Qualité logement;Pas sur une recherche de l’anonymat comme on pourrait le penser mais d’un côté s’il habitait dans un village il rechercherait peut-être l’anonymat?: «?vivre à Ajaccio c’est une espèce d’entre-deux qui est assez agréable parce que je vis en ville, je suis capable d’avoir ce côté urbain et dynamique ici, tout en gardant un pied dans quelque chose qui est un peu plus à échelle humaine?» 
27;Voisinage;Une des participantes a «?horreur de l’anonymat?» et préfère connaître les personnes, avoir la possibilité de discuter avec.
28;Espace rencontre culture;Importance de la diversité culturelle dans le milieu de vie urbain  
29;Entretien espace public et paysage;Parfois pas toujours le cas mais c’est un point important 
30;Entretien espace public et paysage;Question importante car un très gros facteur de la qualité de vie «?même s’il y a une marge de progrès sur le territoire?» 
31;Proximité commerce et services;Le fait de pouvoir emmener les enfants aux activités extra-scolaires revient chez plusieurs participants, pour leur éviter trop de trajets et aussi ne pas leur faire louper des opportunités.Ne veut pas vivre au village avec les enfants en bas âge  
32;Proximité espace vert et biodiversité;Importance d’avoir un bon logement mais d’avoir aussi des espaces de nature à proximité pour «?s’évader?»  
33;Proximité espace vert et biodiversité;Encore une fois, l’expérience joue beaucoup car un des participants explique avoir vécu sur le Cours Napoléon pendant quelques années (donc une expérience de «?l’urbain total?») et il a eu besoin de se rapprocher un peu plus de conditions proches du rural, tout en habitant en ville (=> évolution des critères au fil du temps et des expériences que l’on vit) 
34;Proximité espace vert et biodiversité;Pour certains c’était important mais ne l’ont pas choisi car ils ont la possibilité d’aller au village pour obtenir cet accès à la nature?: «?le choix qu’on a fait de vivre à Ajaccio ne nous contraint pas par rapport à ça?»  
35;Proximité espace vert et biodiversité;La situation familiale est déterminante dans le choix des critères?: importance d’avoir une situation géographique qui permet de les emmener facilement à l’école et de leur faire faire des activités.  
36;Proximité espace vert et biodiversité;Permet aux enfants aussi d’être indépendants en grandissant  
37;Proximité espace vert et biodiversité;Un des participants explique que depuis qu’il a un enfant, c’est là où il a commencé à se poser toutes ces questions tandis qu’avant il était plus urbain dans sa façon de réfléchir.  
