;;
11;;Et justement, vous pensez quoi du développement de Porticcio et des effets que ça peut avoir sur les populations résidentes??   Alors, moi je vois sur Porticcio mais je le vois aussi ailleurs, donc je ne peux pas juger ni blâmer Porticcio en lui-même ou la municipalité ou la collectivité qui fait que … je ne pourrais pas me permettre de dire cela. Par contre, là où le bât blesse un peu parce que là nous avons quand même un cadre qui est tellement idyllique et quand on voit la bétonisation qui en résulte … jour après jour, on voit pousser des immeubles et des maisons en général, parce que l’Etat l’a permis, la collectivité l'a permis, dans une autre mesure les communes aussi. Voilà c'est dommage, parce que le seul problème qu'on puisse rencontrer, c'est qu’on va en faire des villes dortoirs, des endroits spéculatifs, tout simplement. Y a beaucoup de constructions, mais elles seront vides la majorité du temps, uniquement pendant la période d'été qui malheureusement chez nous, la grosse période, c'est juillet août, et encore ça se réduit de plus en plus, années après années. Voilà, pour un mois dans l'année, on a bétonnisé tout parce que voilà, c'est la course aux profits, c’est la course à l’argent facile, c’est la course à la spéculation, tout simplement.? 
12;;Et ça, justement, c'est quand même favorisé par le tourisme très important dans le sens où … 
13;;Alors, oui, mais il faut savoir que quand y a des offres, ça veut dire qu’il y a de la demande, voilà ça, c'est la loi du commerce.? Quand il y a des offres, il y a de la demande. S'il y a de la demande, les offres se multiplient. Ce qui est logique, donc effectivement le tourisme … au tout début, je vous l’ai dit, les gens ne restent pas insensibles à notre île, c'est une vérité, parce que quand on arrive ici très peu sont les gens qui ne l'aiment pas, qui ne l’apprécient pas, même ceux qui arrivent avec des préjugés sont totalement bluffés parce qu’en fin de compte la vie est beaucoup mieux que sur le continent, voire peut-être même ailleurs.?Voilà, on a pas de violence, on vit normalement, on stress pas. On ne stress pas parce que avant tout, on a le soleil, je me répète, mais on n’a pas aussi un problème de violence. Vous sortez, vous êtes à Corte, vous êtes étudiante, vous n'avez qu'un souci, vous n’aurez jamais aucun souci. On ne parle même pas de sécurité parce que chez nous ça n’existe pas. Et puis, même si vous arrivez à un si une agression, les gens sont là pour intervenir, on va pas vous laisser mourir seul dans la rue. Vous voyez ce que je veux dire ? Vous allez au continent, c'est différent. Enfin moi, je l'ai pas vu mais bon, d’après ce que j'entends dans les médias, on nous bassine de ça en permanence donc j’en déduis que … ? 
14;;On peut entendre que le tourisme devient un problème pour les populations résidentes, vous justement qui êtes dans ce secteur, qu’en pensez-vous. Alors, le tourisme devient un problème, on va remettre les choses à leur place ? Les populations résidentes quand ils disent que le tourisme est un problème, ils oublient tous que quand même, je veux dire c'est une station balnéaire, je répète donc ça veut dire quoi, ça veut dire, ça veut dire qu’il y a un point d'attrait pour le touriste. Ça fait pas un an, mis ni dix ans, ni vingt ans, ça fait plus d'une cinquantaine d'années que c'est comme ça. Même si ces gens-là qui vous disent ce type de problème, effectivement, c'est ceux qui ont … peut-être les anciens qui ont vu évoluer Porticcio, peut-être pas dans le bon sens. Comme je vous l'ai dit hein la bétonisation c’est une y a quasiment plus de points verts, c'est assez niveau-là. Maintenant ceux qui vous ont dit ça, c'est peut-être effectivement des gens qui viennent du continent, qui ne sont jamais contents, parce qu'ils sont comme ça. Vous voyez, il y a ceux qui arrivent du continent … vous voyez, vous vous installez quelque part et que vous prenez les us et coutumes de la région qui vous accueille. Vous faites partie de cette région. Mais quand vous arrivez avec vos défauts, vos défauts que vous avez eu auparavant, et vous venez les imposer ici, c’est là où le bât blesse. Voyez, je vais vous citer un exemple?: on est voisins, nos terrains sont mitoyens, j’ai la branche d’un de mes arbres qui vous gêne. Au lieu de venir me trouver, vous allez passer par des voies juridiques, des huissiers, des gendarmes, peu importe, au lieu de venir me dire directement, c’est les relations de bon voisinage. C'est pas de leur faute, parce que ils ont été habitués comme ça. Donc qu'est-ce qui se passe ? Voilà comment on empoisonne les bonnes relations. Et ces gens-là quand ils s'installent, c'est exactement le même principe, ils arrivent avec leur façon d'être, dans le sens où ils sont très procéduriers dans tout ce qui font, nous on a pas l’habitude. Nous, on y va, on discute avec vous, on trouve un arrangement et ça s’arrange toujours, on est pas là pour s’envenimer, se disputer. Après on s’étonne qu’on les regarde du mauvais œil. Il y a des raisons.  
15;;Et donc du coup, pour vous le développement de Porticcio, ça reste encore quelque chose de plutôt sain ou là il commence à avoir des inquiétudes peut-être?? ? Non, de l’inquiétude, non, parce que Porticcio, ça reste une station balnéaire donc il faut la prendre comme une station balnéaire. Je sais qu’on travaillera toujours, je vois pas ce qui pourrait freiner notre l'activité, y a plein de choses à faire dans Porticcio.  
16;;Freiner l’activité non, mais peut-être avoir un trop plein de gens??  
17;;Est-ce que pour vous justement ça pourrait pas être problème pour les gens qui vivent ici à l’année, cette saisonnalité très marquée??  Ça peut peut-être créer des nuisances, ce n’est pas impossible. Mais bon après faut pas oublier aussi une chose, c'est que pour avoir un développement, je dirais économique dans la microrégion, on est bien obligé de passer par là. Il faut pas oublier que je fais partie des acteurs économiques de de la microrégion. J’embauche du personnel, je fais travailler des gens de la région. J’embauche aussi des jeunes de la région. Si y a pas de touristes, y a plus de commerces. Si y a pas de commerces, effectivement ça dévient grave, ça deviendra une ville dortoir tout simplement.  Oui c’est vrai que des commerces, ça donne de l'emploi.?Ça crée, ça génère de de l'argent, du passage.?
18;;Ben Porticcio sans tourisme c’est pas possible.  
19;;Ah ben moi j'ai pas eu le choix, il a fallu que je ferme. Ça a été difficile, très difficile, d'ailleurs encore maintenant on en subi les conséquences, aussi bien je dirais économique, sociales parce qu’on a de plus en plus de difficultés à embaucher parce que les gens, post-Covid, ils ont décidé de changer de voie, donc c’est compliqué.  
20;;Ah oui, oui, je vais vous donner un exemple?: les gens ne veulent plus travailler le soir, parce que vous avez votre famille, les gens ne veulent plus travailler le week-end parce que leur femme ne travaille pas le week-end, hein. Je peux comprendre aussi, pour avoir une vie de famille tu es obligé de changer de métier. Sauf que là maintenant on est en pénurie. ?Et ça c’est le post-Covid, on avait déjà du mal à avoir du personnel, après le Covid ça a été une cata, une vraie cata.  
21;;Ben, c'est-à-dire que j’ai pas forcément la clientèle, l’essentiel de ma clientèle l'hiver c'est les locaux mais je vais vous expliquer pourquoi je suis ouvert toute l'année, c'est que j'ai un staff, et pour éviter de m'arracher les cheveux, juste avant la saison, je suis obligé de rester ouvert, uniquement pour garder mes employés. C’est très dur parce que voyez, même si vous faites des saisons extraordinaires, vous avez des difficultés l’hiver, parce que ce que vous avez gagné l’été, vous le reperdez l’hiver. C’est difficile parfois, on arrive à sortir notre épingle du jeu mais c’est très compliqué.  
22;;Bien, je comprends mais c'est plutôt rare. Il y en a beaucoup ici qui restent ouverts?? ? Pas des masses, mais il y en a quelque uns. À l'époque, on était les seuls sur la place à rester ouverts l’hiver et parce que justement, déjà on rencontrait des problèmes de recrutement et là bon, ils sont aperçus quand même que nous on travaillait bien quand on était les seuls ouverts sur la place.  Mais là, c’est compliqué, mais bon ça fait partie du jeu. ?
23;;Je trouve ça bien parce que parfois on tape un peu sur les restaurateurs qui ferment l’hiver…  C’est honteux. Vous pouvez pas vous imaginer les difficultés qu’on puisse nous rencontrer tout au long d’une année, et les contraintes folles.  
24;;Une dernière question, comment vous pensez que les gens de Grosseto-village ils considèrent Porticcio?? ? Je pense qu’ils le considèrent comme vous avez pu le constater peut-être en faisant votre étude dans un village je dirais rural de la Corse. C’est plutôt négatif, mais par contre eux en retire tous les bénéfices. Si on tient le village tel qu’il est actuellement, c’est grâce quand même aux impôts locaux de Porticcio. S’il y a toutes ces infrastructures, sinon ça aurait été un village sans âme, sans rien. Là c’est devenu un beau petit village, parce qu’il y a des entrées d’argent qui font que.  
