Id_Interview,Thème,Interview,text-translated,Text-translated,score-sentiment analysis,theme-predicted,similarity-score
11,Sallubrité,"Si tu as pas ça tu manges pas bien, tu ne peux pas profiter des espaces verts  ",,"If you don't have that, you don't eat well, you can't enjoy green spaces","{'negative': 0.7494581, 'neutral': 0.22691722, 'positive': 0.02362469}",Health,84.01834869384766
12,Sallubrité,Les problèmes de pollution de leau sont importants car peuvent impacter laccès à leau potable et donc la qualité de vie  ,,Water pollution problems are important because they can impact access to drinking water and therefore quality of life.,"{'negative': 0.65178126, 'neutral': 0.32065457, 'positive': 0.027564185}",Health,82.48799133300781
13,Pollution air,"Un meilleur réseau de transports en commun, avec des P+R permettrait que les gens naillent pas dans le centre-ville en voiture et donc moins de pollution de lair.",,"A better public transport network, with P+R, would prevent people from going to the city center by car and therefore reduce air pollution.","{'negative': 0.20681635, 'neutral': 0.524727, 'positive': 0.2684567}",Transports,82.5089111328125
14,Réseau et télécom,À Ajaccio pas trop de zones blanches mais y a des endroits où y a encore une très mauvaise couverture du réseau.,,In Ajaccio not too many white areas but there are places where there is still very poor network coverage.,"{'negative': 0.84588623, 'neutral': 0.14623429, 'positive': 0.007879396}",Security,80.46256256103516
15,Réseau et télécom,Plusieurs participants sont en télétravail à temps plein donc cest absolument nécessaire davoir une bonne connexion réseau ,,Many participants are teleworking full-time so it is absolutely necessary to have a good network connection,"{'negative': 0.011978438, 'neutral': 0.30146617, 'positive': 0.6865554}",Community,80.64306640625
16,Réseau et télécom,"Un critère qui peut contraindre un lieu de vie «?Pendant le covid, là avec les enfants, jaurais été mieux au village, mais comme je travaillais via le télétravail, je nai pas pu aller au village?» => quand le réseau nest pas suffisant ça empêche la possibilité de vivre dans certains endroits.",,"A criterion that can constrain a place to live “During covid, there with the children, I would have been better off in the village, but as I worked remotely, I was not able to go to the village?” => when the network is not sufficient it prevents the possibility of living in certain places.","{'negative': 0.54319084, 'neutral': 0.4210968, 'positive': 0.035712384}",Accomodation,81.22382354736328
17,Condition météo,Nest pas forcément concerné mais sest projeté en dehors de son territoire de vie pour simaginer sil pourrait vivre là et les conditions météos étaient importantes dans cette projection  ,,Is not necessarily concerned but projected himself outside his living territory to imagine if he could live there and the weather conditions were important in this projection,"{'negative': 0.18977377, 'neutral': 0.75320655, 'positive': 0.057019677}",Natural resources,80.73164367675781
18,Condition météo,"Même si ce nest pas un territoire particulièrement concerné par les catastrophes naturelles, ce nest pas impossible que ça arrive (proximité de la mer) et il y a déjà eu des tempêtes, des tornades.",,"Even if it is not an area particularly affected by natural disasters, it is not impossible for it to happen (proximity to the sea) and there have already been storms and tornadoes.","{'negative': 0.30611604, 'neutral': 0.60569173, 'positive': 0.08819221}",Natural resources,80.46385955810547
19,Condition météo,Un critère qui pourrait être de plus en plus important dans lavenir avec le changement climatique et des endroits dans la ville qui avant nétaient pas inondables mais avec la bétonnisation le sont devenus.,,A criterion that could be increasingly important in the future with climate change and places in the city that were not previously floodable but have become so with concreting.,"{'negative': 0.020680366, 'neutral': 0.6059538, 'positive': 0.37336573}",Natural resources,81.60404205322266
20,Condition météo,"Si des problématiques trop intenses se posent dans lavenir, un des participants nhésiterait pas à déménager «?sil fait 50 degrés, 300 jours par an, si jai les moyens je bouge?» => question dacceptabilité de la situation jusquà une certaine limite.",,"If too intense problems arise in the future, one of the participants would not hesitate to move ""if it's 50 degrees, 300 days a year, if I have the means I'll move."" => question of acceptability of the situation up to a certain limit.","{'negative': 0.14379157, 'neutral': 0.75550514, 'positive': 0.10070326}",Stability,81.57596588134766
21,Pollution sonore,Aussi une projection car nest pas concerné mais cest en discutant avec quelquun qui vit au-dessus dune boite de nuit quil sest rendu compte que vivre dans un endroit calme cest important (tirer du parti du vécu dautres personnes) ,,Also a projection because he is not concerned but it was while talking with someone who lives above a nightclub that he realized that living in a quiet place is important (shoot part of the experiences of other people),"{'negative': 0.11286661, 'neutral': 0.6997713, 'positive': 0.18736212}",Security,80.43868255615234
22,Qualité logement,Importance de lexpérience vécue?: «?jai passé cinq ans dans 18m2 à Paris donc quand je suis rentré cest ça que je voulais?: la famille et la qualité du logement?»? ,,Importance of lived experience: “I spent five years in 18m2 in Paris so when I came back that’s what I wanted: family and quality housing”?,"{'negative': 0.08448835, 'neutral': 0.6090857, 'positive': 0.30642602}",Accomodation,83.08956146240234
23,Qualité logement,"Pareil pour une autre participante qui a aussi vécu à Paris et qui recherchait à retrouver cette centralité dhabiter en centre-ville car une forte proximité avec les services (notamment pouvoir emmener ses enfants à lécole à pied), commerces et la culture?(cinéma, musées).",,"The same for another participant who also lived in Paris and who was looking to rediscover the centrality of living in the city center because of close proximity to services (notably being able to take her children to school on foot), shops and culture ?(cinema, museums).","{'negative': 0.016147677, 'neutral': 0.6079024, 'positive': 0.3759499}",Education,81.02630615234375
24,Qualité logement,"Un participant évoque le fait de faire le choix de rester en Corse, et en parle comme un acte relevant presque du militantisme.",,"A participant mentions the fact of choosing to stay in Corsica, and speaks of it as an act almost relating to activism.","{'negative': 0.02051105, 'neutral': 0.9070806, 'positive': 0.07240833}",Attraction,81.54186248779297
25,Qualité logement,"Grande importance de la vie en communauté, même en ville?: volonté de vouloir reproduire en quelque sorte la vie de village au sein dun quartier, avait besoin de quelque chose à dimension humaine, connaître les gens et avoir ses habitudes.Cest quelque chose quil a eu du mal à retrouver dans dautres grandes villes (notamment Paris) et à Ajaccio il a pu retrouver des «?mini-communautés?»  ",,"Great importance of community life, even in the city?: desire to want to somehow reproduce village life within a neighborhood, needed something on a human scale, to know the people and have their habits.C is something that he had difficulty finding in other large cities (notably Paris) and in Ajaccio he was able to find “mini-communities?”","{'negative': 0.0645058, 'neutral': 0.44771758, 'positive': 0.48777664}",Community,82.47643280029297
26,Qualité logement,"Pas sur une recherche de lanonymat comme on pourrait le penser mais dun côté sil habitait dans un village il rechercherait peut-être lanonymat?: «?vivre à Ajaccio cest une espèce dentre-deux qui est assez agréable parce que je vis en ville, je suis capable davoir ce côté urbain et dynamique ici, tout en gardant un pied dans quelque chose qui est un peu plus à échelle humaine?» ",,"Not on a search for anonymity as one might think but on the one hand if he lived in a village he would perhaps seek anonymity: “living in Ajaccio is a kind of in-between which is quite pleasant because I live in the city, I am able to have this urban and dynamic side here, while keeping one foot in something which is a little more on a human scale?","{'negative': 0.025174396, 'neutral': 0.3515877, 'positive': 0.6232379}",Income,79.94963836669922
27,Voisinage,"Une des participantes a «?horreur de lanonymat?» et préfère connaître les personnes, avoir la possibilité de discuter avec.",,"One of the participants has a “horror of anonymity?” and prefers to know people, to have the opportunity to chat with them.","{'negative': 0.11225241, 'neutral': 0.7598622, 'positive': 0.12788534}",Community,81.81048583984375
28,Espace rencontre culture,Importance de la diversité culturelle dans le milieu de vie urbain  ,,Importance of cultural diversity in the urban living environment,"{'negative': 0.015882708, 'neutral': 0.68802047, 'positive': 0.29609683}",Cultural resources,84.81104278564453
29,Entretien espace public et paysage,Parfois pas toujours le cas mais cest un point important ,,Sometimes not always the case but it is an important point,"{'negative': 0.039993446, 'neutral': 0.64231294, 'positive': 0.31769368}",Community,81.16650390625
30,Entretien espace public et paysage,Question importante car un très gros facteur de la qualité de vie «?même sil y a une marge de progrès sur le territoire?» ,,Important question because a very big factor in the quality of life “even if there is room for progress in the territory?”,"{'negative': 0.053856052, 'neutral': 0.7033448, 'positive': 0.24279916}",Natural resources,82.85144805908203
31,Proximité commerce et services,"Le fait de pouvoir emmener les enfants aux activités extra-scolaires revient chez plusieurs participants, pour leur éviter trop de trajets et aussi ne pas leur faire louper des opportunités.Ne veut pas vivre au village avec les enfants en bas âge  ",,"The fact of being able to take the children to extra-curricular activities comes up for several participants, to save them from having to travel too much and also not to make them miss out on opportunities. Does not want to live in the village with young children","{'negative': 0.24764694, 'neutral': 0.5529251, 'positive': 0.19942795}",Education,80.57803344726562
32,Proximité espace vert et biodiversité,Importance davoir un bon logement mais davoir aussi des espaces de nature à proximité pour «?sévader?»  ,,Importance of having good accommodation but also having natural spaces nearby to “get away from it all”,"{'negative': 0.010280063, 'neutral': 0.27970898, 'positive': 0.710011}",Accomodation,87.49783325195312
33,Proximité espace vert et biodiversité,"Encore une fois, lexpérience joue beaucoup car un des participants explique avoir vécu sur le Cours Napoléon pendant quelques années (donc une expérience de «?lurbain total?») et il a eu besoin de se rapprocher un peu plus de conditions proches du rural, tout en habitant en ville (=> évolution des critères au fil du temps et des expériences que lon vit) ",,"Once again, experience plays a big role because one of the participants explains having lived on the Cours Napoléon for a few years (therefore an experience of “total urbanity”) and he needed to get a little closer to the conditions. close to rural areas, while living in the city (=> evolution of criteria over time and the experiences we live)","{'negative': 0.02242284, 'neutral': 0.6843261, 'positive': 0.29325095}",Politics,79.76233673095703
34,Proximité espace vert et biodiversité,Pour certains cétait important mais ne lont pas choisi car ils ont la possibilité daller au village pour obtenir cet accès à la nature?: «?le choix quon a fait de vivre à Ajaccio ne nous contraint pas par rapport à ça?»  ,,"For some it was important but they did not choose it because they have the possibility of going to the village to obtain this access to nature: ""the choice we made to live in Ajaccio does not constrain us in relation to that?""","{'negative': 0.23917644, 'neutral': 0.6885046, 'positive': 0.07231903}",Natural resources,80.93717956542969
35,Proximité espace vert et biodiversité,La situation familiale est déterminante dans le choix des critères?: importance davoir une situation géographique qui permet de les emmener facilement à lécole et de leur faire faire des activités.  ,,The family situation is decisive in the choice of criteria: importance of having a geographical location which makes it easy to take them to school and have them do activities.,"{'negative': 0.030343005, 'neutral': 0.66196895, 'positive': 0.30768803}",Education,82.19821166992188
36,Proximité espace vert et biodiversité,Permet aux enfants aussi dêtre indépendants en grandissant  ,,Allows children to be independent as they grow up,"{'negative': 0.03802423, 'neutral': 0.76170003, 'positive': 0.20027575}",Freedom,81.08995819091797
37,Proximité espace vert et biodiversité,"Un des participants explique que depuis quil a un enfant, cest là où il a commencé à se poser toutes ces questions tandis quavant il était plus urbain dans sa façon de réfléchir.  ",,"One of the participants explains that since he had a child, this is where he started to ask himself all these questions whereas before he was more urban in his way of thinking.","{'negative': 0.07629316, 'neutral': 0.8643588, 'positive': 0.059347987}",Religious commitment,78.9054183959961
