Id_Interview,Thème,Interview,text-translated,Text-translated,Processed_Text,Topic,Topic_Name,Theme
27,Voisinage,"Une des participantes a «?horreur de lanonymat?» et préfère connaître les personnes, avoir la possibilité de discuter avec.",,"One of the participants has a “horror of anonymity?” and prefers to know people, to have the opportunity to chat with them.",one participant horror anonymity prefers know people opportunity chat,1,people living important life realized opportunity urban place concerned projection,Education
28,Espace rencontre culture,Importance de la diversité culturelle dans le milieu de vie urbain  ,,Importance of cultural diversity in the urban living environment,importance cultural diversity urban living environment,1,people living important life realized opportunity urban place concerned projection,Education
29,Entretien espace public et paysage,Parfois pas toujours le cas mais cest un point important ,,Sometimes not always the case but it is an important point,sometimes always case important point,1,people living important life realized opportunity urban place concerned projection,Education
30,Entretien espace public et paysage,Question importante car un très gros facteur de la qualité de vie «?même sil y a une marge de progrès sur le territoire?» ,,Important question because a very big factor in the quality of life “even if there is room for progress in the territory?”,important question big factor quality life even room progress territory,0,important quality life area ajaccio network question big territory place,Education
31,Proximité commerce et services,"Le fait de pouvoir emmener les enfants aux activités extra-scolaires revient chez plusieurs participants, pour leur éviter trop de trajets et aussi ne pas leur faire louper des opportunités.Ne veut pas vivre au village avec les enfants en bas âge  ",,"The fact of being able to take the children to extra-curricular activities comes up for several participants, to save them from having to travel too much and also not to make them miss out on opportunities. Does not want to live in the village with young children",fact able take child activity come several participant save travel much also make miss opportunity want live village young child,5,participant question child corsica car make activity ask situation fact,Education
32,Proximité espace vert et biodiversité,Importance davoir un bon logement mais davoir aussi des espaces de nature à proximité pour «?sévader?»  ,,Importance of having good accommodation but also having natural spaces nearby to “get away from it all”,importance good accommodation also natural space nearby get away,9,natural space proximity child good problem lived school able center,natural resources
33,Proximité espace vert et biodiversité,"Encore une fois, lexpérience joue beaucoup car un des participants explique avoir vécu sur le Cours Napoléon pendant quelques années (donc une expérience de «?lurbain total?») et il a eu besoin de se rapprocher un peu plus de conditions proches du rural, tout en habitant en ville (=> évolution des critères au fil du temps et des expériences que lon vit) ",,"Once again, experience plays a big role because one of the participants explains having lived on the Cours Napoléon for a few years (therefore an experience of “total urbanity”) and he needed to get a little closer to the conditions. close to rural areas, while living in the city (=> evolution of criteria over time and the experiences we live)",experience play big role one participant explains lived cours napoléon year therefore experience total urbanity needed get little closer condition close rural area living city evolution criterion time experience live,4,criterion place experience live choice life little housing feel play,Education
34,Proximité espace vert et biodiversité,Pour certains cétait important mais ne lont pas choisi car ils ont la possibilité daller au village pour obtenir cet accès à la nature?: «?le choix quon a fait de vivre à Ajaccio ne nous contraint pas par rapport à ça?»  ,,"For some it was important but they did not choose it because they have the possibility of going to the village to obtain this access to nature: ""the choice we made to live in Ajaccio does not constrain us in relation to that?""",important choose possibility going village obtain access nature choice made live ajaccio constrain u relation,8,participant important choice ajaccio access climate village going choose lot,Education
35,Proximité espace vert et biodiversité,La situation familiale est déterminante dans le choix des critères?: importance davoir une situation géographique qui permet de les emmener facilement à lécole et de leur faire faire des activités.  ,,The family situation is decisive in the choice of criteria: importance of having a geographical location which makes it easy to take them to school and have them do activities.,family situation decisive choice criterion importance geographical location make easy take school activity,5,participant question child corsica car make activity ask situation fact,Education
36,Proximité espace vert et biodiversité,Permet aux enfants aussi dêtre indépendants en grandissant  ,,Allows children to be independent as they grow up,allows child independent grow,5,participant question child corsica car make activity ask situation fact,Education
37,Proximité espace vert et biodiversité,"Un des participants explique que depuis quil a un enfant, cest là où il a commencé à se poser toutes ces questions tandis quavant il était plus urbain dans sa façon de réfléchir.  ",,"One of the participants explains that since he had a child, this is where he started to ask himself all these questions whereas before he was more urban in his way of thinking.",one participant explains since child started ask question whereas urban way thinking,5,participant question child corsica car make activity ask situation fact,Education
